"strat_name","r_year","sc_gy_bbs"
"US-AL-28",2011,-0.783886168548134
"US-AL-28",2012,-0.331201748968645
"US-AL-28",2013,0.334252854810449
"US-AL-28",2014,1.22047598778749
"US-AL-28",2015,0.727875453258904
"US-AL-28",2016,0.624106644417527
"US-AL-28",2017,0.519076068077732
"US-AL-28",2018,1.67995676575052
"US-AL-28",2019,2.57350019653865
"US-AL-29",1970,0.733090629841583
"US-AL-29",1971,0.593701642501762
"US-AL-29",1972,1.73501511504438
"US-AL-29",1973,2.69841588304235
"US-AL-29",1974,2.36922949317058
"US-AL-29",1975,1.94738532697566
"US-AL-29",1976,1.32820887663812
"US-AL-29",1977,0.312132302870057
"US-AL-29",1978,0.0730297825746061
"US-AL-29",1979,-0.998800898492346
"US-AL-29",1980,-0.637590434992362
"US-AL-29",1981,-0.653186169454434
"US-AL-29",1982,0.046231626245499
"US-AL-29",1983,-0.357821402237951
"US-AL-29",1984,0.339514296659952
"US-AL-29",1985,1.18713342956722
"US-AL-29",1986,1.36036685762587
"US-AL-29",1987,0.333826530998235
"US-AL-29",1988,1.1843909592395
"US-AL-29",1989,0.0185095643498034
"US-AL-29",1990,0.0763738847907884
"US-AL-29",1991,0.16573667380681
"US-AL-29",1992,0.647434743385861
"US-AL-29",1993,-0.0299993672087189
"US-AL-29",1994,-0.734910743302282
"US-AL-29",1995,-0.662752207741847
"US-AL-29",1996,-1.79012709910378
"US-AL-29",1997,-1.88934508585698
"US-AL-29",1998,-1.74360684360198
"US-AL-29",1999,-1.81732101551997
"US-AL-29",2000,-1.08161466582535
"US-AL-29",2001,-1.5768944925367
"US-AL-29",2002,0.0611833426068108
"US-AL-29",2003,-0.465048823956927
"US-AL-29",2004,-0.499216393745174
"US-AL-29",2005,0.25520319975885
"US-AL-29",2006,0.357431371429429
"US-AL-29",2007,0.0816501671862335
"US-AL-29",2008,-0.371731612463773
"US-AL-29",2009,0.391959604513968
"US-AL-29",2010,-0.833402760318829
"US-AL-29",2011,-1.49418157841253
"US-AL-29",2012,-0.710587932044366
"US-AL-29",2013,-0.166367893492221
"US-AL-29",2014,-0.514450097429214
"US-AL-29",2015,-0.0582123321627713
"US-AL-29",2016,-0.211160270014723
"US-AL-29",2017,0.461306697743971
"US-AL-29",2018,0.834937734701689
"US-AL-29",2019,1.00254460478032
"US-AR-24",1970,-1.34448693042993
"US-AR-24",1971,-1.12653988902185
"US-AR-24",1972,-0.594711662887282
"US-AR-24",1973,-1.37788894650596
"US-AR-24",1974,-0.825605822631671
"US-AR-24",1975,-0.896795709728673
"US-AR-24",1976,-0.292002598190614
"US-AR-24",1977,-1.76430065362378
"US-AR-24",1978,-1.87376418280627
"US-AR-24",1979,-1.86131570988499
"US-AR-24",1980,-1.70826468522379
"US-AR-24",1981,-1.66270031691322
"US-AR-24",1982,-1.43080216791064
"US-AR-24",1983,-1.15375471487667
"US-AR-24",1984,-1.65404060295893
"US-AR-24",1985,-1.60058431275384
"US-AR-24",1986,-0.773967194909066
"US-AR-24",1987,-0.730846339267579
"US-AR-24",1988,-1.38834388877532
"US-AR-24",1989,-0.800323726865292
"US-AR-24",1990,-0.680464725126319
"US-AR-24",1991,0.50081816103063
"US-AR-24",1992,0.196139352287913
"US-AR-24",1993,0.408767178521972
"US-AR-24",1994,1.08038730027325
"US-AR-24",1995,0.483371309273835
"US-AR-24",1996,0.0835582721842293
"US-AR-24",1997,0.455156718781955
"US-AR-24",1998,0.101004144492546
"US-AR-24",1999,0.343200586772829
"US-AR-24",2000,1.2608966582713
"US-AR-24",2001,-0.751963561255519
"US-AR-24",2002,-0.330987878555808
"US-AR-24",2003,0.122664185821374
"US-AR-24",2004,0.816408229692304
"US-AR-24",2005,1.0434044271616
"US-AR-24",2006,0.675253027547326
"US-AR-24",2007,0.944470836218577
"US-AR-24",2008,0.590177285312463
"US-AR-24",2009,1.32066519887678
"US-AR-24",2010,1.25746064707365
"US-AR-24",2011,0.488767840511537
"US-AR-24",2012,0.107249437796173
"US-AR-24",2013,0.813028886585102
"US-AR-24",2014,0.767009349977739
"US-AR-24",2015,0.468341240637412
"US-AR-24",2016,1.0332632216285
"US-AR-24",2017,0.950696056825048
"US-AR-24",2018,0.607263881927296
"US-AR-24",2019,0.945643511890217
"US-AR-25",1970,-0.213145410041146
"US-AR-25",1971,-0.34247428035761
"US-AR-25",1972,0.586994812614456
"US-AR-25",1973,-0.597099307040318
"US-AR-25",1974,0.889162500932923
"US-AR-25",1975,0.495275348196065
"US-AR-25",1976,0.736180155678431
"US-AR-25",1977,-1.51668387642404
"US-AR-25",1978,-2.10895437130557
"US-AR-25",1979,-1.80022219750445
"US-AR-25",1980,-1.64277650743286
"US-AR-25",1981,-2.1121623072466
"US-AR-25",1982,-1.22165196413379
"US-AR-25",1983,-1.00651105347554
"US-AR-25",1984,-1.89998374603238
"US-AR-25",1985,-1.37228730074655
"US-AR-25",1986,-1.28268958760857
"US-AR-25",1987,-0.0840767988217744
"US-AR-25",1988,-1.91599108562173
"US-AR-25",1989,-0.956255737387805
"US-AR-25",1990,-0.214386306132005
"US-AR-25",1991,0.299963392517021
"US-AR-25",1992,1.69578025402421
"US-AR-25",1993,1.79086739182094
