"strat_name","r_year","sc_trend_cbc"
"CA-QC-14",2003,0.013736657973987
"CA-QC-14",2004,0.0882031770894572
"CA-QC-14",2005,0.185164108871937
"CA-QC-14",2006,0.285377701663619
"CA-QC-14",2007,0.446042513200647
"CA-QC-14",2008,0.493347633107416
"CA-QC-14",2009,0.664922573750827
"CA-QC-14",2010,0.916840370080266
"CA-QC-14",2011,1.2198984778508
"CA-QC-14",2012,1.20276726006651
"CA-QC-14",2013,1.51762060161082
"CA-QC-14",2014,1.67980177077282
"CA-QC-14",2015,1.6879830980749
"CA-QC-14",2016,2.12077764613025
"CA-QC-14",2017,2.13892571305203
"CA-QC-14",2018,2.3334877410824
"CA-QC-14",2019,2.81483766557632
"US-AL-27",1970,-1.3655946943632
"US-AL-27",1971,-1.29108658539562
"US-AL-27",1972,-1.38076164274857
"US-AL-27",1973,-0.985388973756734
"US-AL-27",1974,-0.635653185576111
"US-AL-27",1975,-0.305041097000542
"US-AL-27",1976,-0.903762793136611
"US-AL-27",1977,-0.489594729149176
"US-AL-27",1978,-1.51230682192451
"US-AL-27",1979,-1.7231529745957
"US-AL-27",1980,-0.99218349323935
"US-AL-27",1981,-1.10630272330399
"US-AL-27",1982,-0.872051233209291
"US-AL-27",1983,-0.723536186945018
"US-AL-27",1984,0.244075659576106
"US-AL-27",1985,0.246514714550357
"US-AL-27",1986,-1.73875656799459
"US-AL-27",1987,-0.0802088718170166
"US-AL-27",1988,-0.329630324467473
"US-AL-27",1989,-1.46460031807925
"US-AL-27",1990,0.0853904044276692
"US-AL-27",1991,-0.564217435119173
"US-AL-27",1992,-0.56238642317762
"US-AL-27",1993,0.57000004598046
"US-AL-27",1994,-0.351124982206997
"US-AL-27",1995,1.09581830137884
"US-AL-27",1996,0.540970822620807
"US-AL-27",1997,-0.0276400253534049
"US-AL-27",1998,-0.182288457699414
"US-AL-27",1999,0.148123577753616
"US-AL-27",2000,0.350456214936756
"US-AL-27",2001,-0.694877408052707
"US-AL-27",2002,0.516164416861314
"US-AL-27",2003,1.15769921949014
"US-AL-27",2004,0.941142443008665
"US-AL-27",2005,0.513589021888533
"US-AL-27",2006,-0.258408070918292
"US-AL-27",2007,0.753846407436599
"US-AL-27",2008,1.40066485761848
"US-AL-27",2009,2.75638792061245
"US-AL-27",2010,0.976918193235005
"US-AL-27",2011,0.221663037707427
"US-AL-27",2012,0.195397767626308
"US-AL-27",2013,0.985361961405501
"US-AL-27",2014,1.52728615242528
"US-AL-27",2015,0.464653696376381
"US-AL-27",2016,0.820791008895557
"US-AL-27",2017,1.35378715113364
"US-AL-27",2018,1.18451354850845
"US-AL-27",2019,1.48933947377599
"US-AL-28",1970,1.33894060589357
"US-AL-28",1971,1.0534290019833
"US-AL-28",1972,1.03722094641194
"US-AL-28",1973,2.31392857090605
"US-AL-28",1974,1.28224670156068
"US-AL-28",1975,1.75190114869422
"US-AL-28",1976,1.97728608773571
"US-AL-28",1977,1.57707607033063
"US-AL-28",1978,0.258614164274732
"US-AL-28",1979,-0.0457071874026883
"US-AL-28",1980,1.02577466624308
"US-AL-28",1981,0.377791855590862
"US-AL-28",1982,0.451111334400409
"US-AL-28",1983,1.05372682463307
"US-AL-28",1984,0.715254895555033
"US-AL-28",1985,0.892891134786331
"US-AL-28",1986,-0.49559426548839
"US-AL-28",1987,0.0288332550565534
"US-AL-28",1988,0.548170548086353
"US-AL-28",1989,-0.401956633820353
"US-AL-28",1990,0.325583923965274
"US-AL-28",1991,0.569311495959146
"US-AL-28",1992,0.241665742225425
"US-AL-28",1993,-0.14705070653585
"US-AL-28",1994,-0.168129917276728
"US-AL-28",1995,-0.176001722497352
"US-AL-28",1996,0.0205591031889917
"US-AL-28",1997,-0.576264185273296
"US-AL-28",1998,-0.667880281379634
"US-AL-28",1999,0.0973567918932766
"US-AL-28",2000,-0.839916279954191
"US-AL-28",2001,-0.559133205333
"US-AL-28",2002,-1.13859923246191
"US-AL-28",2003,-0.0701933571210541
"US-AL-28",2004,-0.422641301123901
"US-AL-28",2005,-0.389284420073685
"US-AL-28",2006,-0.0892573694304911
"US-AL-28",2007,0.164281616386465
"US-AL-28",2008,-0.745716225729038
"US-AL-28",2009,-0.592399542724606
"US-AL-28",2010,-0.949220157838017
"US-AL-28",2011,-1.86655773971815
"US-AL-28",2012,-1.10459286117933
"US-AL-28",2013,-0.903460338042719
"US-AL-28",2014,-0.332622274201645
"US-AL-28",2015,-0.778119347103054
"US-AL-28",2016,-1.38140037893473
"US-AL-28",2017,-2.82572954178851
"US-AL-28",2018,-1.40778516186557
"US-AL-28",2019,-0.0277428514632155
"US-AR-24",1970,-0.632850528092445
"US-AR-24",1971,-1.09321661042079
"US-AR-24",1972,-1.15346353621433
"US-AR-24",1973,-1.20442971859217
"US-AR-24",1974,-1.35828432166153
"US-AR-24",1975,-1.34492739329093
"US-AR-24",1976,-1.33384270038955
"US-AR-24",1977,-0.379798263601351
"US-AR-24",1978,-1.62153233765798
"US-AR-24",1979,-1.79488249135923
"US-AR-24",1980,-1.76220041420868
"US-AR-24",1981,-1.42329893094764
"US-AR-24",1982,-1.1728319715821
"US-AR-24",1983,-0.496547694750945
"US-AR-24",1984,-0.471702657566549
"US-AR-24",1985,-0.900671793359154
"US-AR-24",1986,-0.794346403382741
"US-AR-24",1987,-0.382671326712098
"US-AR-24",1988,-0.427009690589275
"US-AR-24",1989,0.00447419510789121
"US-AR-24",1990,0.372570689179629
"US-AR-24",1991,0.256093959602937
"US-AR-24",1992,0.607703132481804
"US-AR-24",1993,0.367607381025476
"US-AR-24",1994,0.909915886142907
"US-AR-24",1995,1.75695235483667
"US-AR-24",1996,0.70721057277474
"US-AR-24",1997,-0.327449015377483
"US-AR-24",1998,-0.260973118849643
"US-AR-24",1999,0.579591819828052
"US-AR-24",2000,0.386465680085096
"US-AR-24",2001,0.390817553934164
